"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"09/30/2021","AQS","510870014","3","14","ug/m3 SC","13","MathScience Innovation Center","1","100.0000","81102","PM10 Total 0-10um STP","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"10/01/2021","AQS","510870014","3","12","ug/m3 SC","11","MathScience Innovation Center","1","100.0000","81102","PM10 Total 0-10um STP","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"10/02/2021","AQS","510870014","3","18","ug/m3 SC","17","MathScience Innovation Center","1","100.0000","81102","PM10 Total 0-10um STP","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"10/03/2021","AQS","510870014","3","23","ug/m3 SC","21","MathScience Innovation Center","1","100.0000","81102","PM10 Total 0-10um STP","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"10/04/2021","AQS","510870014","3","19","ug/m3 SC","18","MathScience Innovation Center","1","100.0000","81102","PM10 Total 0-10um STP","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"10/05/2021","AQS","510870014","3","19","ug/m3 SC","18","MathScience Innovation Center","1","100.0000","81102","PM10 Total 0-10um STP","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"10/06/2021","AQS","510870014","3","14","ug/m3 SC","13","MathScience Innovation Center","1","100.0000","81102","PM10 Total 0-10um STP","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"10/07/2021","AQS","510870014","3","11","ug/m3 SC","10","MathScience Innovation Center","1","100.0000","81102","PM10 Total 0-10um STP","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"10/08/2021","AQS","510870014","3","12","ug/m3 SC","11","MathScience Innovation Center","1","100.0000","81102","PM10 Total 0-10um STP","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"10/09/2021","AQS","510870014","3","11","ug/m3 SC","10","MathScience Innovation Center","1","100.0000","81102","PM10 Total 0-10um STP","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"10/10/2021","AQS","510870014","3","17","ug/m3 SC","16","MathScience Innovation Center","1","100.0000","81102","PM10 Total 0-10um STP","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"10/11/2021","AQS","510870014","3","11","ug/m3 SC","10","MathScience Innovation Center","1","100.0000","81102","PM10 Total 0-10um STP","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
